"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-16","64","80","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-17","65","82","48"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-18","67","82","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-19","65","81","49"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-20","62","74","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-21","62","72","52"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-22","65","74","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-23","62","79","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-24","61","78","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-25","58","64","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-26","56","59","53"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-27","59","68","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-28","54","58","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-29","57","63","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-30","52","58","45"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-31","54","68","40"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-11-01","52","63","41"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-11-02","56","69","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-11-03","58","73","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-11-04","56","69","43"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-11-05","59","69","49"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-11-06","56","68","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-11-07","59","71","46"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-11-08","57","69","44"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-11-09","47","59","35"
